"ano";"turno";"tipo_eleicao";"sigla_uf";"id_municipio";"id_municipio_tse";"cargo";"sigla_partido";"numero_candidato";"sequencial_candidato";"id_candidato_bd";"resultado";"votos"
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11244;10000610661;766930;"suplente";273
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11321;10000610662;654599;"suplente";345
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11888;10000610663;1103151;"suplente";44
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11333;10000610664;1038353;"suplente";796
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11234;10000610666;962849;"suplente";125
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11456;10000610667;586568;"suplente";2725
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11125;10000610668;800754;"suplente";223
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11999;10000610669;825703;"suplente";1941
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11119;10000610670;799691;"suplente";179
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11789;10000610671;26743;"suplente";58
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11100;10000610672;1408486;"suplente";186
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11106;10000610673;86302;"eleito por qp";5113
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11444;10000610674;1282510;"suplente";2777
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11011;10000610676;113243;"suplente";18
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PP";11123;10000629441;1789664;"nao eleito";0
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PPL";54564;10000600117;1018728;"suplente";86
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PPL";54123;10000600118;1481887;"suplente";186
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PROS";90000;10000600770;987208;"eleito por qp";7793
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PROS";90777;10000600771;1452460;"suplente";2879
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PROS";90123;10000600772;1674741;"suplente";319
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PROS";90995;10000600773;134561;"suplente";33
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PROS";90999;10000600774;798770;"suplente";19
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PROS";90190;10000600775;111700;"suplente";202
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PROS";90555;10000600776;1392634;"suplente";1240
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PROS";90888;10000600777;1281340;"suplente";96
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PROS";90111;10000629953;545977;"suplente";22
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44333;10000600138;261655;"suplente";909
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44100;10000600139;528822;"suplente";2793
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44800;10000600140;1381850;"suplente";24
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44400;10000600141;1102403;"suplente";62
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44900;10000600142;1747478;"suplente";1622
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44555;10000600143;1133100;"suplente";1218
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44500;10000600144;1018535;"suplente";1932
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44123;10000600145;767955;"suplente";350
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44000;10000600146;1580849;"suplente";754
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44777;10000600147;1374342;"suplente";8
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44300;10000600148;1770548;"suplente";120
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44678;10000600149;1610685;"suplente";38
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44999;10000600150;1024079;"suplente";530
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44111;10000600151;1072786;"suplente";206
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44200;10000600152;1591100;"suplente";23
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44404;10000600153;1575728;"suplente";1
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44888;10000600155;1074122;"suplente";1325
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRP";44369;10000600156;1074180;"nao eleito";0
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28888;10000607174;1416800;"nao eleito";167
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28555;10000607175;234101;"nao eleito";91
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28111;10000607176;1714732;"nao eleito";164
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28234;10000607177;89676;"nao eleito";83
